číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_en,číselník_položka_nadřazená
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60100,60100,6.1 History and Archaeology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60200,60200,6.2 Languages and Literature,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60300,60300,"6.3 Philosophy, Ethics and Religion",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60400,60400,"6.4 Arts (arts, history of arts, performing arts, music)",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60500,60500,6.5 Other Humanities and the Arts,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/60000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10101,10101,Pure mathematics,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10100
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10102,10102,Applied mathematics,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10100
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10103,10103,Statistics and probability,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10100
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10201,10201,"Computer sciences, information science, bioinformathics (hardware development to be 2.2, social aspect to be 5.8)",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10200
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10301,10301,"Atomic, molecular and chemical physics (physics of atoms and molecules including collision, interaction with radiation, magnetic resonances, Mössbauer effect)",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10300
